측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2019-01-01,35,19
2019-01-02,27,12
2019-01-03,31,13
2019-01-04,56,31
2019-01-05,57,30
2019-01-06,49,17
2019-01-07,50,29
2019-01-08,41,11
2019-01-09,49,15
2019-01-10,48,23
2019-01-11,79,51
2019-01-12,98,63
2019-01-13,112,75
2019-01-14,159,120
2019-01-15,138,77
2019-01-16,42,9
2019-01-17,42,15
2019-01-18,60,32
2019-01-19,98,61
2019-01-20,68,26
2019-01-21,40,12
2019-01-22,65,27
2019-01-23,69,35
2019-01-24,39,13
2019-01-25,49,13
2019-01-26,41,11
2019-01-27,31,11
2019-01-28,88,17
2019-01-29,68,15
2019-01-30,63,26
2019-01-31,74,11
2019-02-01,34,9
#2019-02-02,53,27
#2019-02-03,36,25
#2019-02-04,67,29
#2019-02-05,82,20
#2019-02-06,96,29
2019-02-07,58,25
2019-02-08,27,10
2019-02-09,32,9
2019-02-10,38,15
2019-02-11,32,13
2019-02-12,55,28
2019-02-13,36,12
2019-02-14,49,18
2019-02-15,35,24
2019-02-16,54,40
2019-02-17,31,22
2019-02-18,39,26
2019-02-19,42,35
2019-02-20,63,51
2019-02-21,73,61
2019-02-22,75,57
2019-02-23,56,40
2019-02-24,68,51
2019-02-25,82,61
2019-02-26,50,27
2019-02-27,71,48
2019-02-28,88,57
2019-03-01,120,85
2019-03-02,124,86
2019-03-03,108,79
2019-03-04,177,124
2019-03-05,180,134
2019-03-06,142,106
2019-03-07,64,45
2019-03-08,52,27
2019-03-09,50,32
2019-03-10,52,36
2019-03-11,71,49
2019-03-12,88,55
2019-03-13,43,11
2019-03-14,43,21
2019-03-15,61,37
2019-03-16,46,32
2019-03-17,39,27
2019-03-18,35,25
2019-03-19,68,46
2019-03-20,104,81
2019-03-21,40,33
2019-03-22,36,19
2019-03-23,21,15
2019-03-24,28,14
2019-03-25,51,33
2019-03-26,66,40
2019-03-27,104,65
2019-03-28,90,59
2019-03-29,38,21
2019-03-30,36,27
2019-03-31,43,27
2019-04-01,23,12
2019-04-02,29,17
2019-04-03,42,25
2019-04-04,45,21
2019-04-05,102,30
2019-04-06,65,23
2019-04-07,44,24
2019-04-08,40,15
2019-04-09,28,13
2019-04-10,8,8
2019-04-11,35,23
2019-04-12,57,36
2019-04-13,50,32
2019-04-14,42,24
2019-04-15,59,17
2019-04-16,54,24
2019-04-17,49,24
2019-04-18,52,32
2019-04-19,53,31
2019-04-20,56,32
2019-04-21,43,35
2019-04-22,121,56
2019-04-23,108,55
2019-04-24,72,54
2019-04-25,43,25
2019-04-26,9,10
2019-04-27,19,13
2019-04-28,21,15
2019-04-29,34,23
2019-04-30,41,27
2019-05-01,75,34
2019-05-02,60,18
2019-05-03,73,37
2019-05-04,105,70
2019-05-05,76,46
2019-05-06,44,12
2019-05-07,57,20
2019-05-08,66,29
2019-05-09,58,29
2019-05-10,69,44
2019-05-11,75,46
2019-05-12,63,43
2019-05-13,63,43
2019-05-14,62,45
2019-05-15,80,55
2019-05-16,78,53
2019-05-17,68,49
2019-05-18,36,23
2019-05-19,16,16
2019-05-20,50,18
2019-05-21,62,25
2019-05-22,64,32
2019-05-23,85,49
2019-05-24,100,63
2019-05-25,86,60
2019-05-26,41,26
2019-05-27,26,17
2019-05-28,27,11
2019-05-29,54,30
2019-05-30,51,29
2019-05-31,23,15
2019-06-01,38,30
2019-06-02,43,29
2019-06-03,44,26
2019-06-04,30,23
2019-06-05,67,53
2019-06-06,67,52
2019-06-07,17,15
2019-06-08,31,20
2019-06-09,45,41
2019-06-10,12,11
2019-06-11,15,10
2019-06-12,37,25
2019-06-13,35,26
2019-06-14,40,31
2019-06-15,38,26
2019-06-16,20,16
2019-06-17,27,20
2019-06-18,35,30
2019-06-19,35,32
2019-06-20,31,25
2019-06-21,25,22
2019-06-22,11,8
2019-06-23,10,9
2019-06-24,20,16
2019-06-25,30,23
2019-06-26,33,24
2019-06-27,25,18
2019-06-28,33,28
2019-06-29,26,23
2019-06-30,30,28
2019-07-01,34,28
2019-07-02,30,25
2019-07-03,33,26
2019-07-04,35,25
2019-07-05,35,25
2019-07-06,30,22
2019-07-07,16,13
2019-07-08,16,8
2019-07-09,14,9
2019-07-10,13,8
2019-07-11,5,6
2019-07-12,14,11
2019-07-13,30,25
2019-07-14,40,38
2019-07-15,42,37
2019-07-16,31,29
2019-07-17,56,49
2019-07-18,56,53
2019-07-19,37,23
2019-07-20,8,7
2019-07-21,15,11
2019-07-22,40,32
2019-07-23,26,16
2019-07-24,21,16
2019-07-25,23,17
2019-07-26,17,13
2019-07-27,16,13
2019-07-28,10,9
2019-07-29,11,8
2019-07-30,15,11
2019-07-31,15,11
2019-08-01,10,9
2019-08-02,15,12
2019-08-03,19,14
2019-08-04,24,19
2019-08-05,35,26
2019-08-06,29,20
2019-08-07,18,13
2019-08-08,37,30
2019-08-09,26,18
2019-08-10,24,15
2019-08-11,18,11
2019-08-12,14,12
2019-08-13,23,17
2019-08-14,17,13
2019-08-15,4,5
2019-08-16,13,9
2019-08-17,28,19
2019-08-18,20,14
2019-08-19,25,16
2019-08-20,29,18
2019-08-21,29,18
2019-08-22,37,28
2019-08-23,29,18
2019-08-24,22,12
2019-08-25,18,13
2019-08-26,27,17
2019-08-27,24,19
2019-08-28,27,19
2019-08-29,27,20
2019-08-30,16,10
2019-08-31,17,11
2019-09-01,18,14
2019-09-02,28,16
2019-09-03,22,14
2019-09-04,8,6
2019-09-05,6,6
2019-09-06,12,10
2019-09-07,12,12
2019-09-08,32,29
